level,trim_-2.0,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_2.0,trim_3.0,trim_4.0,trim_5.0,trim_6.0,trim_7.0,trim_8.0
6.2,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043199999999999995,-0.06520000000000001,-0.0872,-0.1092,-0.1312,-0.1534,-0.17559999999999998
6.21,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04321,-0.06521,-0.08721,-0.10921,-0.13121,-0.15342,-0.17562999999999998
6.22,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043219999999999995,-0.06522,-0.08721999999999999,-0.10922,-0.13122,-0.15344,-0.17565999999999998
6.23,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04323,-0.06523,-0.08722999999999999,-0.10923,-0.13123,-0.15345999999999999,-0.17568999999999999
6.24,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043239999999999994,-0.06524,-0.08724,-0.10924,-0.13124,-0.15348,-0.17572
6.25,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04325,-0.06525,-0.08725,-0.10925,-0.13125,-0.1535,-0.17575
6.26,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04326,-0.06526,-0.08725999999999999,-0.10926,-0.13126000000000002,-0.15352,-0.17578
6.2700000000000005,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043269999999999996,-0.06527000000000001,-0.08727,-0.10927,-0.13127,-0.15354,-0.17581
6.28,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04328,-0.06528,-0.08728,-0.10928,-0.13128,-0.15356,-0.17584
6.29,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043289999999999995,-0.06529,-0.08728999999999999,-0.10929,-0.13129000000000002,-0.15358,-0.17587
6.3,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.0433,-0.0653,-0.08729999999999999,-0.1093,-0.1313,-0.1536,-0.1759
6.3100000000000005,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043309999999999994,-0.06531,-0.08731,-0.10931,-0.13131,-0.15362,-0.17593
6.32,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04332,-0.06532,-0.08732,-0.10932,-0.13132,-0.15364,-0.17595999999999998
6.33,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043329999999999994,-0.06533,-0.08732999999999999,-0.10933,-0.13133,-0.15366,-0.17598999999999998
6.34,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04334,-0.06534000000000001,-0.08734,-0.10934,-0.13134,-0.15368,-0.17601999999999998
6.3500000000000005,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04335,-0.06535,-0.08735,-0.10935,-0.13135,-0.1537,-0.17604999999999998
6.36,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043359999999999996,-0.06536,-0.08736,-0.10936,-0.13136,-0.15372,-0.17608
6.37,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04337,-0.06537,-0.08736999999999999,-0.10937,-0.13137000000000001,-0.15374,-0.17611
6.38,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043379999999999995,-0.06538000000000001,-0.08738,-0.10938,-0.13138,-0.15376,-0.17614
6.390000000000001,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04339,-0.06539,-0.08739,-0.10939,-0.13139,-0.15378,-0.17617
6.4,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043399999999999994,-0.0654,-0.08739999999999999,-0.1094,-0.13140000000000002,-0.1538,-0.1762
6.41,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04341,-0.06541,-0.08740999999999999,-0.10941,-0.13141,-0.15381999999999998,-0.17623
6.42,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04342,-0.06542,-0.08742,-0.10942,-0.13142,-0.15384,-0.17626
6.43,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043429999999999996,-0.06543,-0.08743,-0.10943,-0.13143000000000002,-0.15386,-0.17629
6.44,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.04344,-0.06544,-0.08743999999999999,-0.10944,-0.13144,-0.15388,-0.17631999999999998
6.45,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043449999999999996,-0.06545000000000001,-0.08745,-0.10945,-0.13145,-0.1539,-0.17634999999999998
